,pseudotime,branch
230,14,Left_Mid
231,6,Right_Mid
232,12,Left_Mid
233,22,Right_End
234,14,Right_Mid
235,12,Right_Mid
236,11,Left_Mid
237,19,Right_End
238,10,Left_Mid
239,14,Left_Mid
240,7,Left_Mid
241,20,Left_End
242,2,Start
243,7,Left_Mid
244,10,Right_Mid
245,18,Left_End
246,21,Left_End
247,13,Left_Mid
248,20,Right_End
249,14,Left_Mid
250,5,Left_Mid
251,0,Start
252,16,Left_End
253,23,Left_End
254,12,Left_Mid
255,20,Right_End
256,18,Right_End
257,10,Left_Mid
258,9,Left_Mid
259,23,Left_End
260,12,Right_Mid
261,16,Right_End
262,7,Right_Mid
263,0,Start
264,9,Left_Mid
265,14,Right_Mid
266,0,Start
267,18,Right_End
268,7,Left_Mid
269,18,Right_End
270,14,Right_Mid
271,18,Left_End
272,14,Left_Mid
273,12,Left_Mid
274,18,Left_End
275,6,Left_Mid
276,12,Left_Mid
277,5,Left_Mid
278,12,Right_Mid
279,10,Left_Mid
280,12,Right_Mid
281,12,Right_Mid
282,12,Left_Mid
283,2,Start
284,14,Right_Mid
285,22,Left_End
286,11,Left_Mid
287,9,Right_Mid
288,17,Left_End
289,0,Start
290,0,Start
291,23,Right_End
292,17,Right_End
293,6,Left_Mid
294,23,Right_End
295,12,Left_Mid
296,20,Left_End
297,6,Left_Mid
298,6,Left_Mid
299,15,Right_End
300,0,Start
301,14,Left_Mid
302,14,Right_Mid
303,11,Right_Mid
304,4,Start
305,16,Left_End
306,13,Right_Mid
307,20,Right_End
308,20,Right_End
309,16,Right_End
310,13,Right_Mid
311,11,Right_Mid
312,6,Right_Mid
313,3,Start
314,6,Right_Mid
315,20,Left_End
316,10,Left_Mid
317,2,Start
318,18,Left_End
319,24,Left_End
320,17,Left_End
321,21,Left_End
322,15,Left_End
323,7,Right_Mid
324,23,Right_End
325,24,Left_End
326,2,Start
327,24,Left_End
328,20,Right_End
329,14,Right_Mid
330,15,Left_End
331,7,Right_Mid
332,4,Start
333,8,Right_Mid
334,24,Right_End
335,23,Left_End
336,19,Right_End
337,14,Left_Mid
338,13,Left_Mid
339,12,Left_Mid
340,6,Left_Mid
341,1,Start
342,19,Right_End
343,15,Right_End
344,19,Left_End
345,6,Right_Mid
346,11,Right_Mid
347,8,Right_Mid
348,16,Left_End
349,12,Right_Mid
350,6,Left_Mid
351,2,Start
352,12,Right_Mid
353,14,Left_Mid
354,14,Right_Mid
355,18,Right_End
356,13,Left_Mid
357,15,Right_End
358,10,Right_Mid
359,16,Left_End
360,0,Start
361,20,Right_End
362,3,Start
363,16,Left_End
364,6,Left_Mid
365,17,Right_End
366,8,Left_Mid
367,16,Left_End
368,22,Left_End
369,17,Left_End
370,10,Right_Mid
371,5,Right_Mid
372,19,Left_End
373,22,Left_End
374,12,Left_Mid
375,12,Right_Mid
376,23,Right_End
377,13,Left_Mid
378,14,Left_Mid
379,18,Left_End
380,1,Start
381,9,Right_Mid
382,6,Left_Mid
383,0,Start
384,18,Left_End
385,2,Start
386,24,Right_End
387,23,Right_End
388,14,Left_Mid
389,2,Start
390,20,Right_End
391,9,Left_Mid
392,24,Left_End
393,12,Right_Mid
394,12,Right_Mid
395,4,Start
396,11,Right_Mid
397,22,Right_End
398,19,Left_End
399,6,Left_Mid
400,14,Right_Mid
401,10,Left_Mid
402,4,Start
403,7,Left_Mid
404,5,Left_Mid
405,5,Left_Mid
406,12,Right_Mid
407,7,Left_Mid
408,21,Left_End
409,3,Start
410,12,Left_Mid
411,24,Left_End
412,18,Left_End
413,11,Left_Mid
414,13,Right_Mid
415,4,Start
416,20,Left_End
417,7,Left_Mid
418,9,Left_Mid
419,11,Right_Mid
420,8,Right_Mid
421,6,Left_Mid
422,17,Right_End
423,21,Right_End
424,6,Left_Mid
425,16,Right_End
426,11,Right_Mid
427,13,Right_Mid
428,3,Start
429,23,Left_End
430,3,Start
431,11,Left_Mid
432,22,Right_End
433,9,Left_Mid
434,0,Start
435,5,Left_Mid
436,12,Left_Mid
437,17,Right_End
438,6,Right_Mid
439,14,Left_Mid
440,6,Right_Mid
441,4,Start
442,21,Right_End
443,9,Left_Mid
444,17,Left_End
445,24,Right_End
446,17,Left_End
447,19,Right_End
448,16,Left_End
449,23,Right_End
450,16,Right_End
451,3,Start
452,11,Right_Mid
453,5,Right_Mid
454,21,Left_End
455,13,Right_Mid
456,6,Right_Mid
457,23,Left_End
458,16,Right_End
459,24,Right_End
460,13,Left_Mid
461,8,Left_Mid
462,10,Right_Mid
463,16,Left_End
464,12,Right_Mid
465,13,Right_Mid
466,8,Left_Mid
467,24,Left_End
468,12,Right_Mid
469,22,Right_End
470,21,Left_End
471,5,Right_Mid
472,23,Right_End
473,8,Left_Mid
474,13,Right_Mid
475,19,Left_End
476,24,Left_End
477,11,Left_Mid
478,8,Left_Mid
479,5,Left_Mid
480,10,Left_Mid
481,12,Right_Mid
482,0,Start
483,22,Left_End
484,16,Right_End
485,18,Left_End
486,7,Right_Mid
487,5,Left_Mid
488,8,Left_Mid
489,16,Right_End
490,14,Left_Mid
491,23,Right_End
492,8,Right_Mid
493,8,Left_Mid
494,10,Right_Mid
495,3,Start
496,7,Right_Mid
497,12,Right_Mid
498,22,Right_End
499,15,Left_End
500,5,Left_Mid
501,20,Right_End
502,2,Start
503,23,Right_End
504,23,Right_End
505,17,Right_End
506,3,Start
507,13,Right_Mid
508,22,Right_End
509,5,Left_Mid
510,23,Left_End
511,21,Left_End
512,6,Left_Mid
513,12,Right_Mid
514,23,Right_End
515,20,Right_End
516,17,Right_End
517,17,Right_End
518,7,Right_Mid
519,19,Left_End
520,13,Right_Mid
521,17,Right_End
522,13,Right_Mid
523,7,Right_Mid
524,15,Right_End
525,3,Start
526,19,Right_End
527,22,Right_End
528,6,Right_Mid
529,7,Right_Mid
530,20,Left_End
531,18,Right_End
532,24,Left_End
533,13,Left_Mid
534,8,Right_Mid
535,15,Right_End
536,23,Right_End
537,14,Right_Mid
538,8,Right_Mid
539,23,Right_End
540,9,Right_Mid
541,7,Right_Mid
542,11,Left_Mid
543,22,Right_End
544,19,Left_End
545,15,Left_End
546,15,Left_End
547,4,Start
548,22,Right_End
549,24,Right_End
550,23,Left_End
551,17,Right_End
552,17,Right_End
553,21,Left_End
554,3,Start
555,17,Left_End
556,13,Left_Mid
557,17,Left_End
558,15,Left_End
559,21,Left_End
560,1,Start
561,9,Right_Mid
562,10,Left_Mid
563,15,Right_End
564,24,Right_End
565,10,Right_Mid
566,20,Right_End
567,5,Left_Mid
568,17,Right_End
569,18,Right_End
570,12,Left_Mid
571,20,Left_End
572,22,Right_End
573,14,Left_Mid
574,6,Right_Mid
575,11,Left_Mid
576,24,Right_End
577,19,Left_End
578,17,Left_End
579,3,Start
580,1,Start
581,14,Left_Mid
582,8,Left_Mid
583,15,Left_End
584,14,Left_Mid
585,15,Left_End
586,16,Left_End
587,17,Right_End
588,13,Right_Mid
589,3,Start
590,22,Right_End
591,9,Right_Mid
592,8,Right_Mid
593,9,Right_Mid
594,6,Left_Mid
595,15,Left_End
596,3,Start
597,8,Left_Mid
598,4,Start
599,23,Left_End
600,6,Left_Mid
601,10,Left_Mid
602,0,Start
603,6,Right_Mid
604,4,Start
605,12,Right_Mid
606,22,Right_End
607,9,Right_Mid
608,15,Left_End
609,4,Start
610,17,Left_End
611,14,Right_Mid
612,6,Right_Mid
613,17,Left_End
614,10,Left_Mid
615,9,Right_Mid
616,7,Right_Mid
617,12,Right_Mid
618,23,Right_End
619,12,Left_Mid
620,0,Start
621,13,Right_Mid
622,2,Start
623,23,Left_End
624,23,Left_End
625,24,Left_End
626,6,Left_Mid
627,6,Right_Mid
628,11,Left_Mid
629,15,Left_End
630,12,Right_Mid
631,9,Left_Mid
632,21,Left_End
633,0,Start
634,21,Left_End
635,7,Right_Mid
636,2,Start
637,21,Right_End
638,8,Right_Mid
639,9,Left_Mid
640,11,Left_Mid
641,7,Left_Mid
642,11,Right_Mid
643,11,Left_Mid
644,16,Right_End
645,3,Start
646,18,Left_End
647,18,Right_End
648,3,Start
649,23,Left_End
650,10,Left_Mid
651,21,Right_End
652,20,Left_End
653,6,Right_Mid
654,10,Left_Mid
655,14,Left_Mid
656,2,Start
657,23,Right_End
658,19,Left_End
659,16,Left_End
660,23,Left_End
661,13,Right_Mid
662,15,Right_End
663,11,Left_Mid
664,21,Left_End
665,21,Left_End
666,21,Right_End
667,17,Right_End
668,16,Left_End
669,6,Right_Mid
670,15,Left_End
671,5,Right_Mid
672,1,Start
673,23,Left_End
674,0,Start
675,20,Right_End
676,23,Right_End
677,12,Left_Mid
678,11,Left_Mid
679,16,Right_End
680,19,Right_End
681,10,Left_Mid
682,14,Right_Mid
683,19,Left_End
684,20,Left_End
685,13,Right_Mid
686,11,Right_Mid
687,11,Right_Mid
688,24,Right_End
689,6,Left_Mid
690,14,Right_Mid
691,15,Right_End
692,24,Right_End
693,1,Start
694,8,Right_Mid
695,14,Right_Mid
696,20,Right_End
697,1,Start
698,18,Right_End
699,2,Start
700,16,Left_End
701,16,Left_End
702,20,Right_End
703,20,Left_End
704,18,Left_End
705,22,Left_End
706,16,Left_End
707,4,Start
708,13,Right_Mid
709,21,Left_End
710,8,Left_Mid
711,15,Left_End
712,18,Left_End
713,2,Start
714,0,Start
715,12,Left_Mid
716,12,Left_Mid
717,23,Right_End
718,17,Left_End
719,4,Start
720,7,Left_Mid
721,15,Right_End
722,2,Start
723,22,Left_End
724,16,Right_End
725,9,Left_Mid
726,15,Right_End
727,19,Right_End
728,23,Left_End
729,20,Right_End
730,11,Left_Mid
731,19,Left_End
732,11,Left_Mid
733,23,Right_End
734,21,Right_End
735,15,Right_End
736,15,Right_End
737,5,Right_Mid
738,7,Right_Mid
739,15,Right_End
740,12,Right_Mid
741,18,Right_End
742,19,Right_End
743,12,Right_Mid
744,22,Left_End
745,17,Left_End
746,10,Left_Mid
747,19,Right_End
748,15,Left_End
749,20,Right_End
750,14,Right_Mid
751,16,Left_End
752,24,Left_End
753,18,Right_End
754,14,Left_Mid
755,5,Left_Mid
756,5,Left_Mid
757,6,Left_Mid
758,15,Left_End
759,10,Right_Mid
760,5,Right_Mid
761,9,Right_Mid
762,5,Left_Mid
763,20,Left_End
764,24,Right_End
765,13,Left_Mid
766,4,Start
767,16,Left_End
768,24,Right_End
769,17,Right_End
770,21,Right_End
771,1,Start
772,21,Left_End
773,4,Start
774,14,Right_Mid
775,10,Right_Mid
776,11,Right_Mid
777,19,Left_End
778,11,Right_Mid
779,24,Right_End
780,10,Left_Mid
781,21,Right_End
782,18,Left_End
783,19,Left_End
784,16,Right_End
785,13,Right_Mid
786,23,Left_End
787,18,Right_End
788,13,Right_Mid
789,3,Start
790,18,Left_End
791,23,Left_End
792,1,Start
793,21,Left_End
794,6,Left_Mid
795,24,Right_End
796,10,Right_Mid
797,22,Left_End
798,19,Left_End
799,8,Left_Mid
800,15,Right_End
801,2,Start
802,19,Right_End
803,11,Left_Mid
804,24,Left_End
805,18,Left_End
806,8,Left_Mid
807,1,Start
808,22,Right_End
809,5,Left_Mid
810,12,Left_Mid
811,18,Left_End
812,14,Left_Mid
813,3,Start
814,11,Right_Mid
815,6,Right_Mid
816,2,Start
817,1,Start
818,10,Right_Mid
819,16,Left_End
820,17,Right_End
821,1,Start
822,3,Start
823,21,Right_End
824,9,Left_Mid
825,16,Left_End
826,19,Left_End
827,21,Right_End
828,5,Left_Mid
829,18,Left_End
830,2,Start
831,15,Left_End
832,7,Right_Mid
833,17,Left_End
834,19,Left_End
835,1,Start
836,16,Left_End
837,8,Right_Mid
838,5,Right_Mid
839,24,Left_End
840,24,Right_End
841,16,Right_End
842,12,Right_Mid
843,7,Right_Mid
844,17,Right_End
845,16,Right_End
846,20,Left_End
847,12,Left_Mid
848,10,Right_Mid
849,10,Right_Mid
850,22,Right_End
851,8,Left_Mid
852,13,Right_Mid
853,9,Left_Mid
854,22,Left_End
855,20,Right_End
856,17,Right_End
857,5,Right_Mid
858,0,Start
859,23,Left_End
860,0,Start
861,6,Left_Mid
862,24,Left_End
863,11,Right_Mid
864,19,Left_End
865,1,Start
866,20,Left_End
867,23,Right_End
868,24,Left_End
869,13,Right_Mid
870,6,Left_Mid
871,24,Right_End
872,2,Start
873,8,Right_Mid
874,5,Left_Mid
875,15,Right_End
876,6,Right_Mid
877,9,Right_Mid
878,8,Right_Mid
879,14,Right_Mid
880,1,Start
881,9,Right_Mid
882,10,Right_Mid
883,17,Left_End
884,23,Left_End
885,7,Left_Mid
886,23,Left_End
887,13,Left_Mid
888,12,Left_Mid
889,11,Left_Mid
890,15,Left_End
891,2,Start
892,8,Left_Mid
893,17,Right_End
894,23,Right_End
895,10,Right_Mid
896,24,Right_End
897,11,Right_Mid
898,8,Left_Mid
899,9,Right_Mid
900,21,Right_End
901,3,Start
902,9,Left_Mid
903,22,Left_End
904,23,Left_End
905,18,Right_End
906,20,Right_End
907,19,Left_End
908,11,Left_Mid
909,20,Right_End
910,16,Right_End
911,15,Left_End
912,12,Left_Mid
913,23,Right_End
914,5,Left_Mid
915,22,Left_End
916,12,Right_Mid
917,10,Right_Mid
918,3,Start
919,0,Start
920,4,Start
921,12,Left_Mid
922,5,Right_Mid
923,8,Left_Mid
924,4,Start
925,7,Right_Mid
926,12,Right_Mid
927,0,Start
928,9,Left_Mid
929,14,Left_Mid
930,21,Left_End
931,1,Start
932,6,Left_Mid
933,10,Left_Mid
934,16,Left_End
935,7,Left_Mid
936,2,Start
937,20,Right_End
938,5,Right_Mid
939,12,Right_Mid
940,20,Right_End
941,12,Left_Mid
942,22,Left_End
943,11,Left_Mid
944,23,Left_End
945,18,Right_End
946,15,Right_End
947,4,Start
948,22,Right_End
949,22,Right_End
950,22,Left_End
951,16,Right_End
952,22,Right_End
953,3,Start
954,21,Right_End
955,11,Left_Mid
956,22,Right_End
957,12,Right_Mid
958,13,Left_Mid
959,22,Left_End
960,7,Right_Mid
961,17,Right_End
962,14,Right_Mid
963,11,Left_Mid
964,2,Start
965,18,Right_End
966,5,Left_Mid
967,11,Right_Mid
968,5,Left_Mid
969,9,Right_Mid
970,4,Start
971,15,Left_End
972,18,Right_End
973,16,Right_End
974,12,Left_Mid
975,0,Start
976,20,Right_End
977,15,Right_End
978,16,Left_End
979,14,Left_Mid
980,21,Right_End
981,11,Left_Mid
982,23,Right_End
983,13,Right_Mid
984,17,Right_End
985,21,Left_End
986,2,Start
987,16,Right_End
988,8,Left_Mid
989,23,Right_End
990,12,Left_Mid
991,11,Right_Mid
992,13,Left_Mid
993,6,Left_Mid
994,15,Right_End
995,10,Right_Mid
996,23,Left_End
997,14,Right_Mid
998,10,Right_Mid
999,6,Left_Mid
1000,10,Left_Mid
1001,21,Right_End
1002,13,Left_Mid
1003,19,Right_End
1004,13,Left_Mid
1005,7,Right_Mid
1006,10,Right_Mid
1007,21,Left_End
1008,9,Right_Mid
1009,17,Left_End
1010,4,Start
1011,23,Left_End
1012,8,Right_Mid
1013,12,Right_Mid
1014,24,Left_End
1015,23,Left_End
1016,12,Right_Mid
1017,5,Left_Mid
1018,2,Start
1019,18,Left_End
1020,3,Start
1021,11,Left_Mid
1022,16,Right_End
1023,1,Start
1024,13,Right_Mid
1025,13,Right_Mid
1026,11,Right_Mid
1027,22,Left_End
1028,12,Right_Mid
1029,1,Start
1030,16,Right_End
1031,20,Right_End
1032,10,Right_Mid
1033,5,Left_Mid
1034,22,Left_End
1035,20,Right_End
1036,14,Left_Mid
1037,11,Right_Mid
1038,21,Right_End
1039,10,Right_Mid
1040,12,Right_Mid
1041,19,Left_End
1042,20,Right_End
1043,10,Right_Mid
1044,24,Right_End
1045,14,Right_Mid
1046,15,Left_End
1047,16,Right_End
1048,17,Left_End
1049,6,Right_Mid
1050,17,Right_End
1051,20,Left_End
1052,18,Right_End
1053,21,Right_End
1054,9,Left_Mid
1055,23,Left_End
1056,22,Left_End
1057,18,Right_End
1058,3,Start
1059,22,Left_End
1060,11,Left_Mid
1061,24,Left_End
1062,10,Left_Mid
1063,17,Right_End
1064,7,Left_Mid
1065,6,Right_Mid
1066,20,Left_End
1067,14,Left_Mid
1068,7,Right_Mid
1069,13,Left_Mid
1070,6,Right_Mid
1071,11,Left_Mid
1072,20,Left_End
1073,16,Right_End
1074,11,Right_Mid
1075,17,Right_End
1076,14,Left_Mid
1077,5,Right_Mid
1078,14,Left_Mid
1079,18,Left_End
1080,15,Left_End
1081,16,Left_End
1082,12,Left_Mid
1083,13,Right_Mid
1084,11,Left_Mid
1085,7,Left_Mid
1086,12,Right_Mid
1087,4,Start
1088,7,Right_Mid
1089,5,Right_Mid
1090,21,Right_End
1091,15,Right_End
1092,3,Start
1093,21,Right_End
1094,18,Left_End
1095,9,Right_Mid
1096,3,Start
1097,21,Right_End
1098,15,Right_End
1099,11,Left_Mid
1100,9,Left_Mid
1101,11,Left_Mid
1102,21,Right_End
1103,5,Right_Mid
1104,1,Start
1105,10,Left_Mid
1106,17,Right_End
1107,11,Right_Mid
1108,12,Left_Mid
1109,11,Right_Mid
1110,12,Right_Mid
1111,8,Left_Mid
1112,15,Left_End
1113,10,Right_Mid
1114,5,Right_Mid
1115,6,Left_Mid
1116,24,Left_End
1117,7,Right_Mid
1118,13,Left_Mid
1119,5,Right_Mid
1120,23,Right_End
1121,11,Right_Mid
1122,17,Left_End
1123,15,Right_End
1124,3,Start
1125,5,Left_Mid
1126,23,Left_End
1127,18,Right_End
1128,10,Left_Mid
1129,24,Right_End
1130,19,Right_End
1131,19,Left_End
1132,13,Left_Mid
1133,9,Right_Mid
1134,13,Right_Mid
1135,11,Left_Mid
1136,21,Left_End
1137,19,Left_End
1138,4,Start
1139,18,Right_End
1140,20,Left_End
1141,8,Right_Mid
1142,11,Left_Mid
1143,7,Right_Mid
1144,8,Right_Mid
1145,21,Left_End
1146,21,Right_End
1147,9,Right_Mid
1148,8,Right_Mid
1149,20,Right_End
1150,12,Right_Mid
1151,14,Left_Mid
1152,10,Left_Mid
1153,19,Right_End
1154,10,Left_Mid
1155,21,Right_End
1156,23,Right_End
1157,14,Right_Mid
1158,7,Left_Mid
1159,16,Right_End
1160,6,Right_Mid
1161,13,Right_Mid
1162,13,Right_Mid
1163,5,Right_Mid
1164,13,Left_Mid
1165,22,Left_End
1166,5,Right_Mid
1167,9,Left_Mid
1168,11,Left_Mid
1169,19,Right_End
1170,14,Left_Mid
1171,21,Left_End
1172,24,Left_End
1173,16,Right_End
1174,11,Left_Mid
1175,18,Right_End
1176,5,Left_Mid
1177,24,Right_End
1178,1,Start
1179,20,Right_End
1180,15,Right_End
1181,11,Right_Mid
1182,19,Left_End
1183,23,Left_End
1184,21,Left_End
1185,15,Right_End
1186,18,Left_End
1187,11,Right_Mid
1188,18,Right_End
1189,14,Right_Mid
1190,23,Right_End
1191,6,Right_Mid
1192,10,Left_Mid
1193,20,Right_End
1194,19,Right_End
1195,15,Right_End
1196,24,Left_End
1197,17,Right_End
1198,8,Right_Mid
1199,23,Left_End
1200,10,Left_Mid
1201,14,Left_Mid
1202,5,Right_Mid
1203,9,Left_Mid
1204,12,Left_Mid
1205,22,Left_End
1206,15,Right_End
1207,8,Left_Mid
1208,8,Right_Mid
1209,16,Right_End
1210,9,Right_Mid
1211,23,Right_End
1212,15,Left_End
1213,17,Left_End
1214,19,Right_End
1215,8,Left_Mid
1216,10,Right_Mid
1217,4,Start
1218,16,Right_End
1219,11,Right_Mid
1220,13,Left_Mid
1221,15,Left_End
1222,8,Right_Mid
1223,5,Left_Mid
1224,22,Right_End
1225,11,Right_Mid
1226,7,Left_Mid
1227,13,Left_Mid
1228,18,Left_End
1229,7,Right_Mid
1230,13,Left_Mid
1231,22,Left_End
1232,19,Right_End
1233,21,Left_End
1234,22,Left_End
1235,2,Start
1236,19,Right_End
1237,20,Left_End
1238,21,Right_End
1239,15,Right_End
1240,22,Right_End
1241,21,Right_End
1242,21,Right_End
1243,15,Right_End
1244,22,Right_End
1245,16,Right_End
1246,1,Start
1247,12,Left_Mid
1248,23,Left_End
1249,18,Left_End
1250,2,Start
1251,23,Left_End
1252,8,Right_Mid
1253,13,Right_Mid
1254,10,Right_Mid
1255,12,Right_Mid
1256,22,Left_End
1257,20,Left_End
1258,7,Left_Mid
1259,5,Left_Mid
1260,10,Left_Mid
1261,5,Right_Mid
1262,6,Left_Mid
1263,21,Right_End
1264,24,Right_End
1265,9,Left_Mid
1266,19,Left_End
1267,16,Left_End
1268,15,Left_End
1269,14,Right_Mid
1270,19,Left_End
1271,18,Right_End
1272,20,Left_End
1273,16,Right_End
1274,0,Start
1275,19,Right_End
1276,16,Left_End
1277,6,Left_Mid
1278,23,Right_End
1279,20,Right_End
1280,8,Right_Mid
1281,16,Right_End
1282,19,Right_End
1283,21,Right_End
1284,1,Start
1285,7,Right_Mid
1286,17,Right_End
1287,5,Right_Mid
1288,23,Left_End
1289,24,Left_End
1290,15,Left_End
1291,22,Left_End
1292,11,Right_Mid
1293,0,Start
1294,8,Right_Mid
1295,16,Left_End
1296,19,Left_End
1297,17,Left_End
1298,10,Left_Mid
1299,19,Left_End
1300,21,Right_End
1301,4,Start
1302,20,Right_End
1303,2,Start
1304,11,Left_Mid
1305,18,Left_End
1306,15,Right_End
1307,24,Right_End
1308,17,Left_End
1309,12,Left_Mid
1310,21,Left_End
1311,5,Left_Mid
1312,4,Start
1313,18,Right_End
1314,6,Right_Mid
1315,15,Right_End
1316,0,Start
1317,18,Left_End
1318,8,Left_Mid
1319,10,Left_Mid
1320,10,Left_Mid
1321,4,Start
1322,9,Right_Mid
1323,8,Right_Mid
1324,16,Left_End
1325,23,Left_End
1326,4,Start
1327,14,Left_Mid
1328,24,Left_End
1329,11,Left_Mid
1330,7,Left_Mid
1331,20,Left_End
1332,17,Right_End
1333,4,Start
1334,8,Right_Mid
1335,10,Right_Mid
1336,2,Start
1337,23,Left_End
1338,23,Right_End
1339,10,Left_Mid
1340,23,Left_End
1341,17,Right_End
1342,1,Start
1343,17,Right_End
1344,12,Right_Mid
1345,15,Left_End
1346,4,Start
1347,9,Right_Mid
1348,6,Left_Mid
1349,11,Left_Mid
1350,19,Left_End
1351,17,Left_End
1352,22,Right_End
1353,13,Left_Mid
1354,19,Left_End
1355,22,Right_End
1356,22,Right_End
1357,16,Right_End
1358,22,Left_End
1359,19,Left_End
1360,16,Right_End
1361,9,Left_Mid
1362,8,Left_Mid
1363,7,Left_Mid
1364,14,Right_Mid
1365,16,Left_End
1366,16,Right_End
1367,23,Right_End
1368,19,Left_End
1369,13,Left_Mid
1370,13,Left_Mid
1371,9,Right_Mid
1372,8,Right_Mid
1373,11,Left_Mid
1374,5,Right_Mid
1375,10,Right_Mid
1376,9,Right_Mid
1377,9,Right_Mid
1378,8,Right_Mid
1379,12,Right_Mid
1380,16,Left_End
1381,22,Right_End
1382,9,Left_Mid
1383,19,Right_End
1384,10,Right_Mid
1385,17,Left_End
1386,6,Left_Mid
1387,12,Left_Mid
1388,12,Left_Mid
1389,18,Left_End
1390,22,Right_End
1391,12,Right_Mid
1392,21,Right_End
1393,15,Right_End
1394,6,Left_Mid
1395,11,Left_Mid
1396,9,Right_Mid
1397,13,Right_Mid
1398,8,Left_Mid
1399,4,Start
1400,9,Right_Mid
1401,1,Start
1402,16,Right_End
1403,5,Right_Mid
