date,close,真实5日均线,真实信号,分段线性插值_插值_A,分段线性插值_5日均线_A,分段线性插值_信号_A,三次样条插值_插值_A,三次样条插值_5日均线_A,三次样条插值_信号_A,径向基函数插值_插值_A,径向基函数插值_5日均线_A,径向基函数插值_信号_A,前向填充(基准)_插值_A,前向填充(基准)_5日均线_A,前向填充(基准)_信号_A,分段线性插值_插值_B,分段线性插值_5日均线_B,分段线性插值_信号_B,三次样条插值_插值_B,三次样条插值_5日均线_B,三次样条插值_信号_B,径向基函数插值_插值_B,径向基函数插值_5日均线_B,径向基函数插值_信号_B,前向填充(基准)_插值_B,前向填充(基准)_5日均线_B,前向填充(基准)_信号_B
2024-01-15,1729.7766099319433,1737.4165038482747,-1.0,1729.7766099319433,1725.1922009822883,0.0,1729.7766099319433,1726.1538148884997,0.0,1729.7766099319433,1725.232639391313,0.0,1729,1720.2,1.0,1729.7766099319433,1737.4165038482747,-1.0,1729.7766099319433,1737.4165038482747,-1.0,1729.776609931942,1737.4165038482759,-1.0,1729,1736.8,-1.0
2024-01-16,1731.4471751757012,1733.8581293983032,0.0,1730.228672694362,1727.1163771146341,0.0,1729.6301052406625,1727.8338776841242,0.0,1730.2579406036334,1727.157310499972,0.0,1729,1722.4,0.0,1731.4471751757012,1733.8581293983032,0.0,1731.4471751757012,1733.8581293983032,0.0,1731.4471751757028,1733.8581293983043,0.0,1731,1733.2,0.0
2024-01-17,1743.2924239459505,1734.4261180829708,1.0,1730.680735456781,1728.6725249044982,0.0,1728.9683205908725,1728.7930197965736,0.0,1730.6508858726038,1728.6989210037548,0.0,1729,1724.6,0.0,1743.2924239459505,1734.4261180829708,1.0,1743.2924239459505,1734.4261180829708,1.0,1743.2924239459498,1734.4261180829715,1.0,1743,1733.8,1.0
2024-01-18,1711.7114901137418,1731.7855573908978,-1.0,1731.1327982192,1729.8606443518806,0.0,1728.605819667932,1729.1532978942087,-1.0,1731.043156365671,1729.8573373915606,0.0,1729,1726.8,0.0,1711.7114901137418,1731.7855573908978,-1.0,1711.7114901137418,1731.7855573908978,-1.0,1711.711490113741,1731.7855573908978,-1.0,1711,1731.2,-1.0
2024-01-19,1714.8034372118793,1726.206227275843,0.0,1731.5848609816187,1730.680735456781,0.0,1729.3571661572005,1729.2676043177223,1.0,1731.4385905033828,1730.6334366554468,0.0,1729,1729.0,0.0,1714.8034372118793,1726.206227275843,0.0,1714.8034372118793,1726.206227275843,0.0,1714.8034372118777,1726.2062272758426,0.0,1714,1725.6,0.0
2024-01-22,1732.0369237440375,1726.6582900382623,1.0,1732.0369237440375,1731.1327982192001,0.0,1732.0369237440375,1729.719667080141,0.0,1732.0369237440373,1731.0854994178655,0.0,1732,1729.6,1.0,1732.0369237440375,1726.6582900382623,1.0,1732.0369237440375,1726.6582900382623,1.0,1732.0369237440382,1726.6582900382618,1.0,1732,1726.2,1.0
2024-01-23,1724.6166393530164,1725.2921828737249,-1.0,1736.6611677174944,1732.4192972238263,0.0,1737.0779484056582,1731.20923571314,0.0,1736.6109152560593,1732.356094348351,0.0,1732,1730.2,0.0,1724.6166393530164,1725.2921828737249,-1.0,1724.6166393530164,1725.2921828737249,-1.0,1724.6166393530184,1725.2921828737249,-1.0,1724,1724.8,-1.0
2024-01-24,1743.428179365346,1725.3193339576042,1.0,1741.2854116909516,1734.5402324706604,0.0,1743.3862652867015,1734.0928246523058,0.0,1741.3872068338578,1734.5033585406018,0.0,1732,1730.8,0.0,1743.428179365346,1725.3193339576042,1.0,1743.428179365346,1725.3193339576042,1.0,1743.4281793653495,1725.319333957605,1.0,1743,1724.8,1.0
2024-01-25,1723.597580643264,1727.6965520635088,-1.0,1745.9096556644085,1737.4956039597023,0.0,1749.4861918236634,1738.2688990834522,0.0,1746.1647332459456,1737.5276739166566,0.0,1732,1731.4,0.0,1723.597580643264,1727.6965520635088,-1.0,1723.597580643264,1727.6965520635088,-1.0,1723.5975806432652,1727.69655206351,-1.0,1723,1727.2,-1.0
2024-01-26,1714.1720498489947,1727.5702745909316,0.0,1750.5338996378657,1741.2854116909516,0.0,1753.9020454530385,1743.1778749426198,0.0,1750.9334805376839,1741.4266519235166,0.0,1732,1732.0,0.0,1714.1720498489947,1727.5702745909316,0.0,1714.1720498489947,1727.5702745909316,0.0,1714.1720498489954,1727.5702745909334,0.0,1714,1727.2,0.0
2024-01-29,1755.1581436113227,1732.1945185643885,1.0,1755.1581436113227,1745.9096556644085,0.0,1755.1581436113227,1747.8021189160768,0.0,1755.158143611323,1746.0508958969738,0.0,1755,1736.6,1.0,1755.1581436113227,1732.1945185643885,1.0,1755.1581436113227,1732.1945185643885,1.0,1755.158143611323,1732.1945185643904,1.0,1755,1731.8,1.0
2024-01-30,1727.3298481142212,1732.7371603166298,-1.0,1748.3093190976033,1748.2392859404304,0.0,1752.246968602443,1750.835922955434,0.0,1748.7307826998504,1748.4748693857323,0.0,1755,1741.2,0.0,1727.3298481142212,1732.7371603166298,-1.0,1727.3298481142212,1732.7371603166298,-1.0,1727.3298481142185,1732.7371603166307,-1.0,1727,1732.4,-1.0
2024-01-31,1729.0513051478667,1729.861785473134,0.0,1741.460494583884,1748.2743025190168,-1.0,1746.0336622000557,1751.3654023381046,-1.0,1741.7592128957224,1748.549270598105,-1.0,1755,1745.8,0.0,1729.0513051478667,1729.861785473134,0.0,1729.0513051478667,1729.861785473134,0.0,1729.0513051478663,1729.8617854731335,0.0,1729,1729.6,0.0
2024-02-01,1703.823951776253,1725.9070596997317,0.0,1734.6116700701646,1746.0147054001682,0.0,1737.8515310452485,1749.0384701824216,0.0,1734.7784503048379,1746.2720140098834,0.0,1755,1750.4,0.0,1703.823951776253,1725.9070596997317,0.0,1703.823951776253,1725.9070596997317,0.0,1703.8239517762524,1725.9070596997312,0.0,1703,1725.6,0.0
2024-02-02,1714.0798798251872,1725.88862569497,0.0,1727.7628455564452,1741.4604945838842,0.0,1729.0338817791094,1744.0648374476357,0.0,1727.7971189754526,1741.6447416974374,0.0,1755,1755.0,0.0,1714.0798798251872,1725.88862569497,0.0,1714.0798798251872,1725.88862569497,0.0,1714.0798798251874,1725.8886256949695,0.0,1714,1725.6,0.0
2024-02-05,1720.9140210427258,1719.0398011812508,1.0,1720.9140210427258,1734.6116700701646,0.0,1720.9140210427258,1737.2160129339165,0.0,1720.914021042726,1734.7959171837178,0.0,1720,1748.0,-1.0,1720.9140210427258,1719.0398011812508,1.0,1720.9140210427258,1719.0398011812508,1.0,1720.914021042725,1719.03980118125,1.0,1720,1718.6,1.0
2024-02-06,1699.0051554695658,1713.3748626523197,-1.0,1716.0656279286536,1728.1629318363746,0.0,1714.4990536990033,1729.6664299532288,0.0,1715.9692281708913,1728.243606277926,0.0,1720,1741.0,0.0,1699.0051554695658,1713.3748626523197,-1.0,1699.0051554695658,1713.3748626523197,-1.0,1699.0051554695642,1713.3748626523188,-1.0,1699,1713.0,-1.0
2024-02-07,1719.0016753881239,1711.3649367003713,1.0,1711.2172348145814,1722.1142798825142,0.0,1709.4912774981156,1722.3579530128404,0.0,1711.1234786946043,1722.1164594377024,0.0,1720,1734.0,0.0,1719.0016753881239,1711.3649367003713,1.0,1719.0016753881239,1711.3649367003713,1.0,1719.001675388127,1711.3649367003713,1.0,1719,1711.0,1.0
2024-02-08,1701.5887662152822,1710.9178995881769,-1.0,1706.3688417005094,1716.465714208583,0.0,1705.2667884120528,1715.8410044862017,0.0,1706.2797781935028,1716.4167250154355,0.0,1720,1727.0,0.0,1701.5887662152822,1710.9178995881769,-1.0,1701.5887662152822,1710.9178995881769,-1.0,1701.5887662152838,1710.9178995881775,-1.0,1701,1710.6,-1.0
2024-02-09,1703.648615440242,1708.831646711188,0.0,1701.5204485864372,1711.2172348145814,0.0,1701.201682412806,1710.2745646129406,0.0,1701.4379141591621,1711.1448840521775,0.0,1720,1720.0,0.0,1703.648615440242,1708.831646711188,0.0,1703.648615440242,1708.831646711188,0.0,1703.648615440243,1708.8316467111886,0.0,1703,1708.4,0.0
2024-02-12,1696.672055472365,1703.983253597116,0.0,1696.672055472365,1706.3688417005094,0.0,1696.672055472365,1705.4261714988684,0.0,1696.672055472365,1706.296490938105,0.0,1696,1715.2,-1.0,1696.672055472365,1703.983253597116,0.0,1696.672055472365,1703.983253597116,0.0,1696.6720554723645,1703.9832535971168,0.0,1696,1703.6,0.0
2024-02-13,1760.843115291397,1716.3508455614822,1.0,1693.5486261331848,1701.8654413414156,0.0,1691.3406871075572,1700.7944981805795,0.0,1693.3869770839663,1701.78004072072,0.0,1696,1710.4,0.0,1760.843115291397,1716.3508455614822,1.0,1760.843115291397,1716.3508455614822,1.0,1760.843115291398,1716.3508455614833,1.0,1760,1715.8,1.0
2024-02-14,1749.3360980863495,1722.417730101127,0.0,1690.4251967940047,1697.7070337373002,0.0,1686.0170910145553,1696.0996608838673,0.0,1690.1783980609498,1697.5910245939892,0.0,1696,1705.6,0.0,1749.3360980863495,1722.417730101127,0.0,1749.3360980863495,1722.417730101127,0.0,1749.336098086351,1722.4177301011282,0.0,1749,1721.8,0.0
2024-02-15,1732.3730664335526,1728.5745901447813,0.0,1687.3017674548248,1693.8936188881635,0.0,1681.7974644343665,1691.40579608833,0.0,1686.9732477784896,1693.7297185109867,0.0,1696,1700.8,0.0,1732.3730664335526,1728.5745901447813,0.0,1732.3730664335526,1728.5745901447813,0.0,1732.3730664335528,1728.574590144782,0.0,1732,1728.0,0.0
2024-02-16,1741.5315549477818,1736.1511780462893,0.0,1684.1783381156447,1690.4251967940047,0.0,1679.7780046080002,1687.1210605273689,0.0,1683.7768350293766,1690.1975026850293,0.0,1696,1696.0,0.0,1741.5315549477818,1736.1511780462893,0.0,1741.5315549477818,1736.1511780462893,0.0,1741.531554947782,1736.1511780462897,0.0,1741,1735.6,0.0
2024-02-19,1681.0549087764646,1733.0277487071094,-1.0,1681.0549087764646,1687.3017674548246,0.0,1681.0549087764646,1683.9976311881887,0.0,1681.0549087764648,1687.0740733458492,0.0,1681,1693.0,-1.0,1681.0549087764646,1733.0277487071094,-1.0,1681.0549087764646,1733.0277487071094,-1.0,1681.054908776464,1733.0277487071096,-1.0,1681,1732.6,-1.0
2024-02-20,1673.1399571449288,1715.4871170778156,0.0,1687.9190860642136,1686.1758594410305,1.0,1686.2453661986772,1682.9785670064127,1.0,1687.6154829869852,1685.9197745264532,1.0,1681,1690.0,0.0,1673.1399571449288,1715.4871170778156,0.0,1673.1399571449288,1715.4871170778156,0.0,1673.1399571449263,1715.4871170778151,0.0,1673,1715.2,0.0
2024-02-21,1622.9548883958194,1690.2108751397095,0.0,1694.783263351963,1687.047472752622,0.0,1694.0505342051936,1684.5852556445402,0.0,1694.6499709034738,1686.814089094958,0.0,1681,1687.0,0.0,1622.9548883958194,1690.2108751397095,0.0,1622.9548883958194,1690.2108751397095,0.0,1622.9548883958175,1690.2108751397086,0.0,1622,1689.8,0.0
2024-02-22,1633.416300224999,1670.419521897999,0.0,1701.647440639712,1689.9166073896,0.0,1702.6925621444782,1688.7642751865628,0.0,1701.6913099155677,1689.7577015223735,0.0,1681,1684.0,0.0,1633.416300224999,1670.419521897999,0.0,1633.416300224999,1670.419521897999,0.0,1633.4163002249977,1670.4195218979978,0.0,1633,1670.0,0.0
2024-02-23,1675.9244603888583,1657.2981029862142,1.0,1708.5116179274612,1694.783263351963,0.0,1710.3935993649952,1694.8873941379618,0.0,1708.727940839212,1694.7479226843407,0.0,1681,1681.0,0.0,1675.9244603888583,1657.2981029862142,1.0,1675.9244603888583,1657.2981029862142,1.0,1675.924460388856,1657.2981029862124,1.0,1675,1656.8,1.0
2024-02-26,1715.3757952152102,1664.1622802739632,0.0,1715.3757952152102,1701.647440639712,0.0,1715.3757952152102,1701.7515714257108,0.0,1715.3757952152102,1701.6120999720897,0.0,1715,1687.8,1.0,1715.3757952152102,1664.1622802739632,0.0,1715.3757952152102,1664.1622802739632,0.0,1715.37579521521,1664.1622802739614,0.0,1715,1663.6,0.0
2024-02-27,1709.2582364457353,1671.3859361341244,0.0,1714.1699859149778,1706.8976206098646,0.0,1716.4378379844352,1707.7900657828625,0.0,1714.3981680507552,1706.9686369848437,0.0,1715,1694.6,0.0,1714.9171112663894,1672.5177110982554,0.0,1735.9237735853217,1676.7190435620419,0.0,1716.463238858431,1672.8269366166628,0.0,1715,1672.0,0.0
2024-02-28,1707.7673911420602,1688.3484366833727,0.0,1712.9641766147452,1710.533803262421,0.0,1714.6845717253768,1711.916873286899,0.0,1713.0316788421228,1710.6449785725738,0.0,1715,1701.4,0.0,1714.4584273175683,1690.8184188826049,0.0,1738.780764163837,1699.8842187156454,0.0,1715.6028859850514,1691.3565361345093,0.0,1715,1690.6,0.0
2024-02-29,1708.1931680539094,1703.3038102491548,0.0,1711.7583673145127,1712.5559885973812,-1.0,1711.79737943159,1713.7378367443216,-1.0,1711.6602182199533,1712.6387602334507,-1.0,1715,1708.2,0.0,1713.9997433687474,1706.9351075113548,0.0,1729.2779050415543,1719.0565396789564,0.0,1714.7116215321416,1707.615600395938,0.0,1715,1707.0,0.0
2024-03-01,1694.094097409448,1706.9377376532727,-1.0,1710.55255801428,1712.9641766147452,0.0,1709.4576440966287,1713.5506456906483,0.0,1710.2945657780776,1712.9520852212238,0.0,1715,1715.0,0.0,1713.5410594199263,1714.4584273175685,-1.0,1712.7463343092727,1726.4209144630393,-1.0,1713.8140315585322,1715.1935146298733,-1.0,1715,1715.0,0.0
2024-03-04,1709.3467487140476,1705.73192835304,1.0,1709.3467487140476,1711.7583673145127,0.0,1709.3467487140476,1712.3448363904158,0.0,1709.3467487140479,1711.7462759209914,0.0,1709,1713.8,-1.0,1713.0823754711055,1713.9997433687472,0.0,1694.5171900577898,1722.2491934315549,0.0,1712.9149060795291,1714.701336802737,0.0,1715,1715.0,0.0
2024-03-05,1717.368288244645,1707.3539387128221,0.0,1716.91100247817,1712.3065706271511,1.0,1712.714834210789,1711.6002356356864,1.0,1716.585818039097,1712.1838059186598,1.0,1709,1712.6,0.0,1712.6236915222844,1713.5410594199263,0.0,1679.921610377905,1711.0487607900718,0.0,1712.0165290521404,1713.8119948414792,0.0,1715,1715.0,0.0
2024-03-06,1744.475628002127,1714.6955860848352,0.0,1724.4752562422923,1714.6087865526606,0.0,1719.0870732473427,1712.4807359400795,0.0,1724.243079736677,1714.4260860975705,0.0,1709,1711.4,0.0,1712.1650075734635,1713.0823754711055,0.0,1674.2907333604162,1698.1507546293876,0.0,1711.1227533761707,1712.9159683197026,0.0,1715,1715.0,0.0
2024-03-07,1738.2646158005932,1720.7098756341722,0.0,1732.0395100064147,1718.665015091041,0.0,1727.5573964175874,1715.632739337279,0.0,1731.9073649071818,1718.4755154350162,0.0,1709,1710.2,0.0,1711.7063236246424,1712.6236915222842,0.0,1682.9556970961225,1688.8863130403013,0.0,1710.2538018556331,1712.024404384401,0.0,1715,1715.0,0.0
2024-03-08,1711.2476396758216,1724.1405840874468,-1.0,1739.603763770537,1724.4752562422923,0.0,1737.2197343154003,1721.1851573810334,0.0,1739.5721285214756,1724.3310279836958,0.0,1709,1709.0,0.0,1711.2476396758216,1712.1650075734638,0.0,1711.2476396758216,1688.5865741136108,1.0,1711.2476396758216,1711.5111260078593,0.0,1711,1714.2,-1.0
2024-03-11,1747.1680175346594,1731.704837851569,1.0,1747.1680175346594,1732.0395100064147,0.0,1747.1680175346594,1728.7494111451556,0.0,1747.1680175346596,1731.895281747818,0.0,1747,1716.6,1.0,1747.1680175346594,1718.9821359861744,1.0,1747.1680175346594,1699.1167396089847,0.0,1747.1680175346585,1718.3617482988848,1.0,1747,1720.6,1.0
2024-03-12,1741.113424336689,1736.4538650699783,0.0,1753.2738689320843,1739.3120832971974,0.0,1756.5618653915094,1737.5188173812996,0.0,1753.405860309973,1739.2592902019933,0.0,1747,1724.2,0.0,1741.113424336689,1724.680082549055,0.0,1741.113424336689,1711.3551024007418,0.0,1741.1134243366896,1724.1811273557948,0.0,1741,1725.8,0.0
2024-03-13,1741.2273753865675,1735.8042145468662,0.0,1759.3797203295092,1746.2929761146406,0.0,1764.8236520911653,1746.6661331500643,0.0,1759.5738675417374,1746.3254477630057,0.0,1747,1731.8,0.0,1741.2273753865675,1730.492556111676,0.0,1741.2273753865675,1724.742430805972,0.0,1741.2273753865693,1730.2020517578744,0.0,1741,1731.0,0.0
2024-03-14,1764.897274523571,1741.1307462914617,0.0,1765.4855717269338,1752.9821884587448,0.0,1771.4414405611083,1755.4429419787684,0.0,1765.7391944468718,1753.0918136709436,0.0,1747,1739.4,0.0,1764.897274523571,1741.1307462914617,0.0,1764.897274523571,1741.1307462914617,0.0,1764.89727452357,1741.1307462914617,0.0,1764,1740.8,0.0
2024-03-15,1775.3205809974709,1753.9453345557915,0.0,1771.5914231243587,1759.3797203295094,0.0,1775.9032937288205,1763.1796538614526,0.0,1771.897941298238,1759.556976226296,0.0,1747,1747.0,0.0,1775.3205809974709,1753.9453345557915,0.0,1775.3205809974709,1753.9453345557915,0.0,1775.3205809974718,1753.9453345557918,0.0,1775,1753.6,0.0
2024-03-18,1777.6972745217836,1760.0511859532162,0.0,1777.6972745217836,1765.485571726934,0.0,1777.6972745217836,1769.2855052588777,0.0,1777.6972745217836,1765.6628276237207,0.0,1777,1753.0,1.0,1777.6972745217836,1760.0511859532166,0.0,1777.6972745217836,1760.0511859532166,0.0,1777.6972745217831,1760.0511859532169,0.0,1777,1759.6,0.0
2024-03-19,1754.7020136639117,1762.768903818661,-1.0,1776.248136010802,1770.0804251426773,0.0,1776.6452081605964,1773.3021738126947,0.0,1776.4642938738796,1770.274514336502,0.0,1777,1759.0,0.0,1754.7020136639117,1762.768903818661,-1.0,1754.7020136639117,1762.768903818661,-1.0,1754.7020136639098,1762.768903818661,-1.0,1754,1762.2,-1.0
2024-03-20,1765.859698984348,1767.695368538217,0.0,1774.7989974998204,1773.1642805767399,0.0,1773.903969038327,1775.1182372021271,-1.0,1774.872394741682,1773.334219776491,0.0,1777,1765.0,0.0,1765.859698984348,1767.695368538217,0.0,1765.859698984348,1767.695368538217,0.0,1765.8596989843477,1767.6953685382166,0.0,1765,1767.0,0.0
2024-03-21,1778.2812392431679,1770.3721614821363,1.0,1773.3498589888386,1774.7371380291206,-1.0,1770.96419384116,1775.0227878581377,0.0,1773.2755825304669,1774.84149739321,-1.0,1777,1771.0,0.0,1778.2812392431679,1770.3721614821363,1.0,1778.2812392431679,1770.3721614821363,1.0,1778.281239243168,1770.3721614821359,1.0,1778,1769.8,1.0
2024-03-22,1790.3343803915564,1773.3749213609535,0.0,1771.900720477857,1774.7989974998204,0.0,1769.3165192552813,1773.7054329634295,0.0,1771.683473035385,1774.7986037406395,0.0,1777,1777.0,0.0,1790.3343803915564,1773.3749213609535,0.0,1790.3343803915564,1773.3749213609535,0.0,1790.334380391557,1773.374921360953,0.0,1790,1772.8,0.0
2024-03-25,1770.4515819668754,1771.9257828499717,-1.0,1770.4515819668754,1773.3498589888386,0.0,1770.4515819668754,1772.2562944524482,0.0,1770.4515819668757,1773.349465229658,0.0,1770,1775.6,-1.0,1770.4515819668754,1771.9257828499717,-1.0,1770.4515819668754,1771.9257828499717,-1.0,1770.451581966874,1771.9257828499715,-1.0,1770,1771.4,-1.0
2024-03-26,1776.3231985768095,1776.2500198325513,1.0,1776.4691619288908,1773.3940641724562,1.0,1775.304012604316,1771.988055341192,1.0,1776.2830580946593,1773.313218073814,1.0,1770,1774.2,0.0,1776.3231985768095,1776.2500198325513,1.0,1776.3231985768095,1776.2500198325513,1.0,1776.3231985768084,1776.250019832551,1.0,1776,1775.8,1.0
2024-03-27,1763.502209321136,1775.7785218999093,-1.0,1782.4867418909062,1774.9316130506736,0.0,1782.5844175647296,1773.7241450464724,0.0,1782.4745719564203,1774.8336535167614,0.0,1770,1772.8,0.0,1763.502209321136,1775.7785218999088,-1.0,1763.502209321136,1775.7785218999088,-1.0,1763.5022093211342,1775.7785218999081,-1.0,1763,1775.4,-1.0
2024-03-28,1762.660634804309,1772.6544010121372,0.0,1788.5043218529213,1777.9625056234902,0.0,1790.4473971874304,1777.6207857157267,0.0,1788.6701924510007,1777.9125755008681,0.0,1770,1771.4,0.0,1762.660634804309,1772.6544010121372,0.0,1762.660634804309,1772.6544010121372,0.0,1762.660634804307,1772.654401012136,0.0,1762,1772.2,0.0
2024-03-29,1792.8203238098831,1773.1515896958026,1.0,1794.5219018149367,1782.486741890906,0.0,1797.047551811733,1783.1669922270169,0.0,1794.8583202203263,1782.5475449378566,0.0,1770,1770.0,0.0,1792.8203238098831,1773.1515896958026,1.0,1792.8203238098831,1773.1515896958026,1.0,1792.8203238098818,1773.1515896958012,1.0,1792,1772.6,1.0
2024-04-01,1800.539481776952,1779.1691696578177,0.0,1800.539481776952,1788.5043218529213,0.0,1800.539481776952,1789.184572189032,0.0,1800.539481776952,1788.5651248998715,0.0,1800,1776.0,1.0,1800.539481776952,1779.1691696578177,0.0,1800.539481776952,1779.1691696578177,0.0,1800.5394817769527,1779.1691696578168,0.0,1800,1778.6,0.0
2024-04-02,1778.2339436231614,1779.5513186670883,-1.0,1795.9109679006585,1792.3926830472749,0.0,1799.6426685328236,1794.0523033747336,0.0,1796.2903903280967,1792.5665913465593,0.0,1800,1782.0,0.0,1778.2339436231614,1779.5513186670883,-1.0,1778.2339436231614,1779.5513186670883,-1.0,1778.2339436231616,1779.5513186670873,-1.0,1778,1779.0,-1.0
2024-04-03,1793.0672628257196,1785.464329368005,1.0,1791.2824540243653,1794.151825473967,-1.0,1795.3361179707695,1796.602643455942,-1.0,1791.5340840828742,1794.3784937718501,-1.0,1800,1788.0,0.0,1793.0672628257196,1785.4643293680049,1.0,1793.0672628257196,1785.4643293680049,1.0,1793.0672628257216,1785.4643293680049,1.0,1793,1785.0,1.0
2024-04-04,1781.7548604665753,1789.2831745004582,-1.0,1786.6539401480718,1793.781749132997,0.0,1789.1637170926326,1796.345907436982,0.0,1786.7694627040496,1793.9983478224597,0.0,1800,1794.0,0.0,1781.7548604665753,1789.2831745004582,-1.0,1781.7548604665753,1789.2831745004582,-1.0,1781.7548604665728,1789.283174500458,-1.0,1781,1788.8,-1.0
2024-04-05,1764.6255490251172,1783.6442195435052,0.0,1782.0254262717785,1791.282454024365,0.0,1782.6693529002569,1793.470267654687,0.0,1782.0053831956006,1791.4277604175145,0.0,1800,1800.0,0.0,1764.6255490251172,1783.6442195435052,0.0,1764.6255490251172,1783.6442195435052,0.0,1764.625549025117,1783.6442195435052,0.0,1764,1783.2,0.0
2024-04-08,1777.396912395485,1779.0157056672117,0.0,1777.396912395485,1786.653940148072,0.0,1777.396912395485,1788.8417537783935,0.0,1777.3969123954853,1786.7992465412212,0.0,1777,1795.4,-1.0,1777.396912395485,1779.0157056672117,0.0,1777.396912395485,1779.0157056672117,0.0,1777.3969123954844,1779.0157056672117,0.0,1777,1778.6,0.0
2024-04-09,1833.6171695933983,1790.092350861259,1.0,1775.9341132909008,1782.6585692261203,0.0,1774.4637490331397,1783.8059698784568,0.0,1775.8504842945777,1782.7112653345175,0.0,1777,1790.8,0.0,1833.6171695933983,1790.092350861259,1.0,1833.6171695933983,1790.092350861259,1.0,1833.6171695933995,1790.092350861259,1.0,1833,1789.6,1.0
